original_word,new_word,case_variations,starting_letter,offset,direction
embedded,DELLE,"['EmbeDdeD', 'EMbeDdeD', 'EmBeDdeD', 'EMBeDdeD', 'EmbEDdeD', 'EMbEDdeD', 'EmBEDdeD', 'EMBEDdeD']",3,7,reverse
parcelled,EDleM,"['parceLlED', 'ParceLlED', 'pArceLlED', 'PArceLlED', 'paRceLlED', 'PaRceLlED', 'pARceLlED', 'PARceLlED', 'parCeLlED', 'ParCeLlED', 'pArCeLlED', 'PArCeLlED', 'paRCeLlED', 'PaRCeLlED', 'pARCeLlED', 'PARCeLlED']",2,7,reverse
contented,ENTEN,"['conTENTEd', 'ConTENTEd', 'cOnTENTEd', 'COnTENTEd', 'coNTENTEd', 'CoNTENTEd', 'cONTENTEd', 'CONTENTEd']",2,3,reverse
plumages,eSsAY,"['pluMAgeS', 'PluMAgeS', 'pLuMAgeS', 'PLuMAgeS', 'plUMAgeS', 'PlUMAgeS', 'pLUMAgeS', 'PLUMAgeS']",3,1,reverse
arpents,YENTA,"['ArpENTS', 'ARpENTS', 'ArPENTS', 'ARPENTS']",2,3,reverse
seesawed,SwAgS,"['seesAwed', 'SeesAwed', 'sEesAwed', 'SEesAwed', 'seesAweD', 'SeesAweD', 'sEesAweD', 'SEesAweD']",2,1,reverse
retention,RENTE,"['retENTIOn', 'RetENTIOn', 'rEtENTIOn', 'REtENTIOn', 'reTENTIOn', 'ReTENTIOn', 'rETENTIOn', 'RETENTIOn', 'retENTION', 'RetENTION', 'rEtENTION', 'REtENTION', 'reTENTION', 'ReTENTION', 'rETENTION', 'RETENTION']",2,3,reverse
septate,PEATY,"['sEPTATe', 'SEPTATe']",0,3,reverse
aftertaste,EITEL,"['afTERTAste', 'AfTERTAste', 'aFTERTAste', 'AFTERTAste', 'afTERTAsTe', 'AfTERTAsTe', 'aFTERTAsTe', 'AFTERTAsTe', 'afTERTAstE', 'AfTERTAstE', 'aFTERTAstE', 'AFTERTAstE', 'afTERTAsTE', 'AfTERTAsTE', 'aFTERTAsTE', 'AFTERTAsTE']",1,3,reverse
septation,PEATY,"['sEPTATion', 'SEPTATion', 'sEPTATiOn', 'SEPTATiOn', 'sEPTATioN', 'SEPTATioN', 'sEPTATiON', 'SEPTATiON']",0,3,reverse
septation,REPEAT,"['sePTATIOn', 'SePTATIOn', 'sEPTATIOn', 'SEPTATIOn', 'sePTATION', 'SePTATION', 'sEPTATION', 'SEPTATION']",1,3,reverse
dilute,ELUTe,"['DiLUTe', 'DILUTe']",1,7,reverse
annuities,RERUN,"['annUITIEs', 'AnnUITIEs', 'aNnUITIEs', 'ANnUITIEs', 'anNUITIEs', 'AnNUITIEs', 'aNNUITIEs', 'ANNUITIEs']",2,3,reverse
weepies,TRATT,"['weEPIES', 'wEEPIES']",1,3,reverse
calcific,filch,"['calcifiC', 'CalcifiC', 'cAlcifiC', 'CAlcifiC']",1,4,reverse
delete,ELUDe,"['DeLETe', 'DELETe']",1,7,reverse
delete,ELUDeD,['DELETe'],0,7,reverse
omegas,gAsSY,"['oMegAs', 'OMegAs']",1,1,reverse
megaspore,gAsSY,"['MegAspore', 'MegAsPore', 'MegAspOre', 'MegAsPOre', 'MegAspoRe', 'MegAsPoRe', 'MegAspORe', 'MegAsPORe', 'MegAsporE', 'MegAsPorE', 'MegAspOrE', 'MegAsPOrE', 'MegAspoRE', 'MegAsPoRE', 'MegAspORE', 'MegAsPORE']",0,1,reverse
seisin,KeKSe,"['SeiSin', 'SeiSiN']",0,1,reverse
hummel,eMmeT,"['hUMmeL', 'HUMmeL']",0,7,reverse
tapetum,ETAPE,"['tAPETUm', 'TAPETUm']",0,3,reverse
rescue,SWagS,"['resCue', 'ResCue']",1,1,reverse
prostitute,TEUER,"['ProstiTUTE', 'PRostiTUTE', 'PrOstiTUTE', 'PROstiTUTE', 'ProStiTUTE', 'PRoStiTUTE', 'PrOStiTUTE', 'PROStiTUTE', 'ProsTiTUTE', 'PRosTiTUTE', 'PrOsTiTUTE', 'PROsTiTUTE', 'ProSTiTUTE', 'PRoSTiTUTE', 'PrOSTiTUTE', 'PROSTiTUTE', 'ProstITUTE', 'PRostITUTE', 'PrOstITUTE', 'PROstITUTE', 'ProStITUTE', 'PRoStITUTE', 'PrOStITUTE', 'PROStITUTE', 'ProsTITUTE', 'PRosTITUTE', 'PrOsTITUTE', 'PROsTITUTE', 'ProSTITUTE', 'PRoSTITUTE', 'PrOSTITUTE', 'PROSTITUTE']",5,3,reverse
schlocky,local,"['schlocky', 'Schlocky', 'sChlocky', 'SChlocky', 'schlockY', 'SchlockY', 'sChlockY', 'SChlockY']",1,4,reverse
refuelled,EDleM,"['refueLlED', 'RefueLlED', 'rEfueLlED', 'REfueLlED', 'reFueLlED', 'ReFueLlED', 'rEFueLlED', 'REFueLlED', 'refUeLlED', 'RefUeLlED', 'rEfUeLlED', 'REfUeLlED', 'reFUeLlED', 'ReFUeLlED', 'rEFUeLlED', 'REFUeLlED']",3,7,reverse
repents,YENTA,"['RepENTS', 'REpENTS', 'RePENTS', 'REPENTS']",2,3,reverse
official,chili,"['official', 'oFficial', 'ofFicial', 'oFFicial', 'offIcial', 'oFfIcial', 'ofFIcial', 'oFFIcial']",3,4,reverse
moggie,SIssy,"['mOggIe', 'MOggIe']",1,1,reverse
epact,EXPAT,['EPACT'],0,3,reverse
destitute,TEUER,"['DestiTUTE', 'DEstiTUTE', 'DeStiTUTE', 'DEStiTUTE', 'DesTiTUTE', 'DEsTiTUTE', 'DeSTiTUTE', 'DESTiTUTE', 'DestITUTE', 'DEstITUTE', 'DeStITUTE', 'DEStITUTE', 'DesTITUTE', 'DEsTITUTE', 'DeSTITUTE', 'DESTITUTE']",4,3,reverse
retentions,RENTE,"['retENTIOns', 'RetENTIOns', 'rEtENTIOns', 'REtENTIOns', 'reTENTIOns', 'ReTENTIOns', 'rETENTIOns', 'RETENTIOns', 'retENTIONs', 'RetENTIONs', 'rEtENTIONs', 'REtENTIONs', 'reTENTIONs', 'ReTENTIONs', 'rETENTIONs', 'RETENTIONs', 'retENTIOnS', 'RetENTIOnS', 'rEtENTIOnS', 'REtENTIOnS', 'reTENTIOnS', 'ReTENTIOnS', 'rETENTIOnS', 'RETENTIOnS', 'retENTIONS', 'RetENTIONS', 'rEtENTIONS', 'REtENTIONS', 'reTENTIONS', 'ReTENTIONS', 'rETENTIONS', 'RETENTIONS']",2,3,reverse
